stage=T1_measured_founding  step=1580  global_step=1580  loss=1.019  lr=0.0004248  wall_s=1.596e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.533  real_bold_nll=236.8  bold_log_scale=5.666  bold_parcels_covered=398
stage=T1_measured_founding  step=1600  global_step=1600  loss=0.9473  lr=0.0004203  wall_s=1.616e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.332  real_bold_nll=353.1  bold_log_scale=5.718  bold_parcels_covered=395
stage=T1_measured_founding  step=1620  global_step=1620  loss=0.9482  lr=0.0004157  wall_s=1.636e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.401  real_bold_nll=214.2  bold_log_scale=5.559  bold_parcels_covered=397
stage=T1_measured_founding  step=1640  global_step=1640  loss=0.892  lr=0.0004111  wall_s=1.655e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.472  real_bold_nll=243.5  bold_log_scale=5.652  bold_parcels_covered=400
stage=T1_measured_founding  step=1660  global_step=1660  loss=0.9956  lr=0.0004065  wall_s=1.675e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.527  real_bold_nll=116.2  bold_log_scale=5.268  bold_parcels_covered=400
stage=T1_measured_founding  step=1680  global_step=1680  loss=0.9378  lr=0.0004019  wall_s=1.694e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.386  real_bold_nll=4.035e+04  bold_log_scale=5.686  bold_parcels_covered=400
stage=T1_measured_founding  step=1700  global_step=1700  loss=1.05  lr=0.0003972  wall_s=1.713e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.456  real_bold_nll=2.19e+05  bold_log_scale=5.535  bold_parcels_covered=400
stage=T1_measured_founding  step=1720  global_step=1720  loss=0.9485  lr=0.0003925  wall_s=1.732e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.469  real_bold_nll=279.4  bold_log_scale=5.677  bold_parcels_covered=400
stage=T1_measured_founding  step=1740  global_step=1740  loss=0.9128  lr=0.0003877  wall_s=1.751e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.382  real_bold_nll=370.9  bold_log_scale=5.792  bold_parcels_covered=399
stage=T1_measured_founding  step=1760  global_step=1760  loss=1.145  lr=0.000383  wall_s=1.772e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.357  real_bold_nll=1.328e+05  bold_log_scale=5.572  bold_parcels_covered=400
stage=T1_measured_founding  step=1780  global_step=1780  loss=0.9338  lr=0.0003782  wall_s=1.791e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.38  real_bold_nll=4853  bold_log_scale=5.476  bold_parcels_covered=400
stage=T1_measured_founding  step=1800  global_step=1800  loss=0.9425  lr=0.0003734  wall_s=1.809e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.55  eegmmidb_real_eeg_nll=1.436  real_bold_nll=245.5  bold_log_scale=5.459  bold_parcels_covered=400
stage=T1_measured_founding  step=1820  global_step=1820  loss=0.972  lr=0.0003686  wall_s=1.828e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.55  eegmmidb_real_eeg_nll=1.494  real_bold_nll=144.1  bold_log_scale=5.402  bold_parcels_covered=400
